"nama";"stok";"lokasi";"jenis";"created_at";"updated_at"
"Natrium karbonat";"1000,00";"-";"Padat";\N;"2024-08-08 18:31:15"
"Natrium lauril sulfat";"1500,00";"-";"Padat";\N;"2024-08-10 18:25:38"
"Natrium nitrat";"1300,00";"-";"Padat";\N;"2024-08-08 18:32:18"
"Natrium nitrit";"500,00";"Rak Besi";"Padat";\N;\N
"Natrium oksalat";"1000,00";"Rak Besi";"Padat";\N;"2024-08-07 19:53:56"
"Natrium sub carbonate";"500,00";"Rak Besi";"Padat";\N;\N
"Natrium sulfat";"0,00";"-";"Padat";\N;\N
"Nipagin";"4600,00";"-";"Padat";\N;"2024-08-10 16:14:47"
"Nipasol";"2000,00";"-";"Padat";\N;"2024-08-10 16:15:34"
"Norit";"1200,00";"Rak Besi";"Padat";\N;"2024-08-08 18:33:17"
"Ortho phosphoric acid 99%";"300,00";"Rak Besi";"Padat";\N;\N
"p-Anisidine";"100,00";"-";"Padat";\N;"2024-08-08 18:33:56"
"Parafin solid";"3000,00";"-";"Padat";\N;"2024-08-10 16:16:23"
"PCT";"1000,00";"-";"Padat";\N;"2024-08-10 16:17:05"
"PEG";"3000,00";"Rak Besi + Rak Stok (Kayu Putih)";"Padat";\N;\N
"PGA";"2500,00";"Rak Besi";"Padat";\N;"2024-08-10 16:18:28"
"PGS";"1000,00";"Rak Besi";"Padat";\N;\N
"Phenolphthalein (Indikator PP)";"100,00";"-";"Padat";\N;"2024-08-08 18:35:50"
"Phloroglucinol";"110,00";"Rak Besi";"Padat";\N;"2024-08-08 18:36:25"
"Piridoksin";"770,00";"Rak Besi";"Padat";\N;\N
"Potassium acetate";"0,00";"-";"Padat";\N;"2024-08-08 18:37:57"
"Potassium bichromate";"0,00";"-";"Padat";\N;\N
"Potassium bromate";"0,00";"-";"Padat";\N;\N
"Potassium Dicromate";"100,00";"Rak Besi";"Padat";\N;"2024-08-08 18:38:35"
"Potassium dyhidrogen phosphate";"2000,00";"Rak Besi";"Padat";\N;"2024-08-10 01:49:29"
"Potassium iodida";"300,00";"Rak Besi";"Padat";\N;"2024-08-10 01:50:24"
"Povidon";"0,00";"-";"Padat";\N;\N
"Prokain HCl";"2000,00";"Rak Besi";"Padat";\N;\N
"PVP";"500,00";"-";"Padat";\N;"2024-08-10 01:51:06"
"Resorcinol";"100,00";"Rak Besi";"Padat";\N;\N
"Saccharum Lactis";"2000,00";"Rak Besi";"Padat";\N;"2024-08-09 18:17:59"
"Sakarin";"500,00";"Rak Besi";"Padat";\N;"2024-08-09 18:17:20"
"Silica gel";"1100,00";"Rak Besi + Rak Stok (Kayu Putih)";"Padat";\N;"2024-08-09 18:16:53"
"SLS Powder";"0,00";"-";"Padat";\N;\N
"Sodium acetate anhydrous";"1000,00";"Rak Besi";"Padat";\N;"2024-08-09 18:16:22"
"Sodium carbonate";"450,00";"Rak Besi";"Padat";\N;\N
"Sodium nitrite p.a smart lab";"500,00";"Rak Besi";"Padat";\N;\N
"Sodium nitroprusside dihydrate";"500,00";"-";"Padat";\N;"2024-08-10 02:23:23"
"Sukrosa";"2250,00";"Rak Besi + Rak Stok (Kayu Putih)";"Padat";\N;\N
"Sulfur praeciptatum";"2500,00";"Rak Besi + Rak Stok (Kayu Putih)";"Padat";\N;"2024-08-09 18:15:41"
"Talk";"4300,00";"Rak Besi";"Padat";\N;"2024-08-09 18:15:02"
"Teophylin";"100,00";"Rak Besi";"Padat";\N;\N
"Tetra";"0,00";"-";"Padat";\N;\N
"Tetrakain HCl";"1000,00";"Rak Besi";"Padat";\N;\N
"Tetrasiklin";"1000,00";"Rak Besi";"Padat";\N;"2024-08-09 18:14:06"
"Tragakan";"2100,00";"Rak Besi";"Padat";\N;"2024-08-09 18:13:28"
"Urea";"500,00";"-";"Padat";\N;"2024-08-09 18:12:51"
"Vanilin";"1000,00";"Rak Besi";"Padat";\N;\N
"Vaselin";"0,00";"-";"Padat";\N;\N
"Vaselin (petrolatum) white";"0,00";"-";"Padat";\N;\N
"Vaselin album";"12000,00";"-";"Padat";\N;"2024-08-10 16:19:49"
"Vaselin flavum";"12500,00";"-";"Padat";\N;"2024-08-10 16:20:56"
"Vit. B6";"0,00";"-";"Padat";\N;\N
"Vit. C uncoated";"500,00";"-";"Padat";\N;"2024-08-09 18:09:27"
"Zinc";"500,00";"Rak Besi";"Padat";\N;"2024-08-09 18:09:59"
"Zinc logam";"0,00";"-";"Padat";\N;\N
"Zinc okide";"200,00";"Rak Besi";"Padat";\N;"2024-08-09 18:10:31"
"Zinc sulfat";"500,00";"-";"Padat";\N;"2024-08-09 18:11:04"
"ZnO";"4500,00";"Rak Besi";"Padat";\N;"2024-08-10 20:56:20"
"ZnSO4";"200,00";"Rak Besi";"Padat";\N;"2024-08-10 16:24:17"
"Amylum Tritici";"500,00";"Rak Besi";"Padat";\N;\N
"Amylum ";"1500,00";"Rak Besi";"Padat";\N;\N
"Ammonium Perusulphate";"1000,00";"Rak Besi";"Padat";\N;\N
"Amylum Solami";"500,00";"Rak Besi";"Padat";\N;\N
"Albumin";"650,00";"-";"Padat";\N;"2024-08-10 21:11:25"
"Ammonium Molybolate";"100,00";"Rak Besi";"Padat";\N;\N
"Asam Tatrat";"1000,00";"Rak Besi";"Padat";\N;\N
"Bentonit Magma";"1000,00";"Rak Besi";"Padat";\N;\N
"BHT";"2500,00";"Rak Besi + Rak Stok (Kayu Putih)";"Padat";\N;\N
"Benziden";"1000,00";"Rak Besi";"Padat";\N;\N
"Carmin";"1000,00";"Rak Besi";"Padat";\N;\N
"Cetostearyl ";"1000,00";"Rak Stok (Kayu Putih)";"Padat";\N;\N
